ID-datalake,nct_id,brief_title,phase,phase_int,phase_numeric,trial_type,recruitment_status,start_date,completion_date,primary_completion_date,start_year,trial_duration_days,enrollment,enrollment_type,flag_date_inconsistency,flag_missing_enrollment_type,flag_estimated_enrollment_on_completed,indications,primary_indication,broad_category,interventions_drugs_clean,intervention_categories,has_drug,main_technologies,primary_technology,target_abbreviations,primary_target,drugs_datalake
42305,NCT04329949,Study of Relacorilant in Combination With Nab-Paclitaxel in Patients With Metastatic Pancreatic Ductal Adenocarcinoma,PHASE3,3.0,3.0,standard,TERMINATED,2020-06-30,2022-03-25,2021-08-23,2020.0,633.0,43.0,ACTUAL,False,False,False,['Pancreatic Cancer'],Pancreatic Cancer,Pancreatic Cancer,"['Relacorilant', 'Nab-paclitaxel']","['drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule']]",Small Molecule,"[['GR'], ['TUBB1']]",GR,"['B1209', 'B7744']"
42868,NCT04427774,A Study of Surufatinib Plus Sintilimab in Patients With Advanced Solid Tumor,PHASE1,1.0,1.0,standard,TERMINATED,2020-06-29,2021-04-27,2021-02-08,2020.0,302.0,8.0,ACTUAL,False,False,False,['Solid Tumors'],Solid Tumors,Unspecified,"['Surufatinib', 'Sintilimab']","['drug', 'drug']",True,"[['Small Molecule'], ['Antibody']]",Small Molecule,"[['CSF-1R', 'FGFR1', 'VEGFR'], ['PD-1']]",CSF-1R,"['B1259', 'B1337']"
46819,NCT04992988,"Concurrent Chemoradiotherapy With Toripalimab for Local-regional Recurrent Nasopharyngeal Carcinoma: a Prospective, Single-arm, Phase II Trial",PHASE2,2.0,2.0,standard,UNKNOWN,2020-06-28,2022-06-30,2022-06-30,2020.0,732.0,40.0,ESTIMATED,False,False,False,"['Nasopharyngeal Cancer', 'Toripalimab', 'Nasopharyngeal Cancer']",Nasopharyngeal Cancer,Head & Neck Cancer,['Toripalimab'],['drug'],True,[['Antibody']],Antibody,[['PD-1']],PD-1,['B1346']
42202,NCT04314089,"Phase Ib First in Human Dose Escalation of GT103 in Refractory, Advanced Stage Non-Small Cell Lung Cancer (TOP 1902)",PHASE1,1.0,1.0,standard,ACTIVE_NOT_RECRUITING,2020-06-09,2025-03-31,2024-04-11,2020.0,1756.0,31.0,ACTUAL,False,False,False,['Non-Small Cell Lung Cancer'],Non-Small Cell Lung Cancer,Lung Cancer,['GT-103'],['drug'],True,[['Antibody']],Antibody,[['CFH']],CFH,['B6085']
42693,NCT04400383,Clinical Trial to Evaluate AB011 Injection in Patients With CLDN18.2-positive Advanced Solid Tumors,PHASE1,1.0,1.0,standard,COMPLETED,2020-06-04,2023-09-28,2023-07-08,2020.0,1211.0,62.0,ACTUAL,False,False,False,"['Solid Tumors', 'Gastric Cancer', 'Pancreatic Cancer']",Gastric Cancer,Gastric Cancer,"['AB 011', 'Moxifloxacin', 'Nab-paclitaxel']","['drug', 'drug', 'drug']",True,"[['Antibody'], ['Small Molecule']]",Antibody,"[['CLDN18.2'], ['Bacterial DNA gyrase', 'Topoisomerase IV']]",CLDN18.2,"['B6399', 'B952']"
42882,NCT04429438,Multi-CAR-T Cells Targeting B Cell Lymphomas,PHASE1/PHASE2,1.5,2.0,standard,UNKNOWN,2020-06-01,2023-12-31,2023-07-31,2020.0,1308.0,11.0,ESTIMATED,False,False,False,['B-Cell Non-Hodgkin Lymphoma'],B-Cell Non-Hodgkin Lymphoma,Lymphoma,[],[],False,[],Unknown,[],Unknown,[]
42587,NCT04383977,Apatinib and Etoposide Capsule Versus Apatinib in Patients With Platinum Resistant Ovarian Cancer,PHASE2,2.0,2.0,standard,UNKNOWN,2020-05-31,2021-06-30,2020-12-31,2020.0,395.0,54.0,ESTIMATED,False,False,False,['Ovarian Cancer'],Ovarian Cancer,Gynecologic Cancer,"['Rivoceranib', 'Etoposide']","['drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule']]",Small Molecule,"[['SRC', 'c-Kit', 'VEGFR2'], ['TOP2']]",SRC,"['B948', 'B1463']"
42328,NCT04334174,Study of Brentuximab Vedotin as Therapy After Autologous Stem Cell Transplant in Cluster of Differentiation Antigen 30 (CD30) Positive Peripheral TCell Lymphomas,PHASE2,2.0,2.0,standard,WITHDRAWN,2020-05-29,2023-02-01,2022-12-14,2020.0,978.0,0.0,ACTUAL,False,False,False,['T-Cell Non-Hodgkin Lymphoma'],T-Cell Non-Hodgkin Lymphoma,Lymphoma,['Brentuximab vedotin'],['drug'],True,[['Antibody Drug Conjugate (ADC)']],Antibody Drug Conjugate (ADC),"[['Beta-tubulin ', 'CD30']]",Beta-tubulin ,['B407']
41944,NCT04275713,"Altered Tumor Oxygenation by Metformin, a Potential Step in Overcoming Radiotherapy Resistance in LACC",PHASE2,2.0,2.0,standard,COMPLETED,2020-05-22,2024-11-08,2024-06-11,2020.0,1631.0,41.0,ACTUAL,False,False,False,['Cervical Cancer'],Cervical Cancer,Gynecologic Cancer,"['Metformin', 'Cisplatin']","['drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule']]",Small Molecule,"[['PRKAB1'], ['DNA']]",PRKAB1,"['B298', 'B49']"
42861,NCT04426669,A Study of Metastatic Gastrointestinal Cancers Treated With Tumor Infiltrating Lymphocytes in Which the Gene Encoding the Intracellular Immune Checkpoint CISH Is Inhibited Using CRISPR Genetic Engineering,PHASE1/PHASE2,1.5,2.0,standard,ACTIVE_NOT_RECRUITING,2020-05-15,2026-01-31,2026-01-31,2020.0,2087.0,20.0,ESTIMATED,False,False,False,"['Epithelial Neoplasm', 'Digestive System Neoplasm', 'Digestive System Neoplasm', 'Digestive System Neoplasm', 'Digestive System Neoplasm', 'Colorectal Cancer', 'Pancreatic Cancer', 'Gallbladder Carcinoma', 'Colon Carcinoma', 'Esophageal Cancer', 'Gastric Cancer']",Colorectal Cancer,Colorectal Cancer,"['Cyclophosphamide', 'Mesna', 'Fludarabine', 'Tumor Infiltrating Lymphocyte', 'Aldesleukin']","['drug', 'drug', 'drug', 'drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule'], ['Small Molecule'], ['Other Protein Therapy']]",Small Molecule,"[['DNA'], [], ['DNA polymerase III', 'RNR', 'RNA polymerase II'], ['IL-2R']]",DNA,"['B2818', 'B2825', 'B346', 'B136']"
